Feelings,Co-ordinates,Category
Apathetic,"(-1,-1)",Unpleasant Low Energy
numb,"(-1,-2)",Unpleasant Low Energy
Bored,"(-1,-3)",Unpleasant Low Energy
tired,"(-1,-4)",Unpleasant Low Energy
lethargic,"(-1,-5)",Unpleasant Low Energy
irked,"(-1,1)",Unpleasant High Energy
Aggravated,"(-1,2)",Unpleasant High Energy
restless,"(-1,3)",Unpleasant High Energy
Confused,"(-1,4)",Unpleasant High Energy
Bewildered,"(-1,5)",Unpleasant High Energy
dejected,"(-2,-1)",Unpleasant Low Energy
sad,"(-2,-2)",Unpleasant Low Energy
Disheartened,"(-2,-3)",Unpleasant Low Energy
Exhausted,"(-2,-4)",Unpleasant Low Energy
Heavy,"(-2,-5)",Unpleasant Low Energy
uneasy,"(-2,1)",Unpleasant High Energy
irritated,"(-2,2)",Unpleasant High Energy
nervous,"(-2,3)",Unpleasant High Energy
Edgy,"(-2,4)",Unpleasant High Energy
jittery,"(-2,5)",Unpleasant High Energy
Disappointed,"(-3,-1)",Unpleasant Low Energy
weary,"(-3,-2)",Unpleasant Low Energy
lonely,"(-3,-3)",Unpleasant Low Energy
withdrawn,"(-3,-4)",Unpleasant Low Energy
anguished,"(-3,-5)",Unpleasant Low Energy
Agitated,"(-3,1)",Unpleasant High Energy
worried,"(-3,2)",Unpleasant High Energy
Angry,"(-3,3)",Unpleasant High Energy
Frustrated,"(-3,4)",Unpleasant High Energy
overwhelmed,"(-3,5)",Unpleasant High Energy
Fatigued,"(-4,-1)",Unpleasant Low Energy
Dejected,"(-4,-2)",Unpleasant Low Energy
miserable,"(-4,-3)",Unpleasant Low Energy
Depressed,"(-4,-4)",Unpleasant Low Energy
woeful,"(-4,-5)",Unpleasant Low Energy
troubled,"(-4,1)",Unpleasant High Energy
Apprehensive,"(-4,2)",Unpleasant High Energy
afraid,"(-4,3)",Unpleasant High Energy
mad,"(-4,4)",Unpleasant High Energy
panicky,"(-4,5)",Unpleasant High Energy
Disgusted,"(-5,-1)",Unpleasant Low Energy
pessimistic,"(-5,-2)",Unpleasant Low Energy
Anguished,"(-5,-3)",Unpleasant Low Energy
Forlorn,"(-5,-3)",Unpleasant Low Energy
Despondent,"(-5,-4)",Unpleasant Low Energy
Despairing,"(-5,-5)",Unpleasant Low Energy
repelled,"(-5,1)",Unpleasant High Energy
irate,"(-5,2)",Unpleasant High Energy
horrified,"(-5,3)",Unpleasant High Energy
shocked,"(-5,4)",Unpleasant High Energy
terrified,"(-5,5)",Unpleasant High Energy
unconcerned,"(1,-1)",Pleasant Low Energy
calm,"(1,-2)",Pleasant Low Energy
wistful,"(1,-3)",Pleasant Low Energy
perplexed,"(1,-4)",Pleasant Low Energy
sleepy,"(1,-5)",Pleasant Low Energy
interested,"(1,1)",Pleasant High Energy
joyous,"(1,2)",Pleasant High Energy
Alert,"(1,3)",Pleasant High Energy
keyed up,"(1,4)",Pleasant High Energy
surprised,"(1,5)",Pleasant High Energy
joyous,"(2,1)",Pleasant High Energy
Amused,"(2,2)",Pleasant High Energy
interested,"(2,3)",Pleasant High Energy
Animated,"(2,4)",Pleasant High Energy
intense,"(2,5)",Pleasant High Energy
passive,"(3,-1)",Pleasant Low Energy
Appreciative,"(3,-2)",Pleasant Low Energy
Restful,"(3,-3)",Pleasant Low Energy
