date,trich,feelings,needs
31/07/2022,0,discouraged,health (dentistry etc)
31/07/2022,0,discouraged,physical nurturance
31/07/2022,0,discouraged,hygiene and cleanliness
31/07/2022,0,discouraged,order/ symetry
31/07/2022,0,discouraged,supplements
31/07/2022,0,discouraged,rest
31/07/2022,0,discouraged,ease
31/07/2022,0,discouraged,peace of mind -relief
31/07/2022,0,discouraged,sleep
31/07/2022,0,hopeful,health (dentistry etc)
31/07/2022,0,hopeful,physical nurturance
31/07/2022,0,hopeful,hygiene and cleanliness
31/07/2022,0,hopeful,order/ symetry
31/07/2022,0,hopeful,supplements
31/07/2022,0,hopeful,rest
31/07/2022,0,hopeful,ease
31/07/2022,0,hopeful,peace of mind -relief
31/07/2022,0,hopeful,sleep
31/07/2022,0,absorbed,health (dentistry etc)
31/07/2022,0,absorbed,physical nurturance
31/07/2022,0,absorbed,hygiene and cleanliness
31/07/2022,0,absorbed,order/ symetry
31/07/2022,0,absorbed,supplements
31/07/2022,0,absorbed,rest
31/07/2022,0,absorbed,ease
31/07/2022,0,absorbed,peace of mind -relief
31/07/2022,0,absorbed,sleep
31/07/2022,0,agitated,health (dentistry etc)
31/07/2022,0,agitated,physical nurturance
31/07/2022,0,agitated,hygiene and cleanliness
31/07/2022,0,agitated,order/ symetry
31/07/2022,0,agitated,supplements
31/07/2022,0,agitated,rest
31/07/2022,0,agitated,ease
31/07/2022,0,agitated,peace of mind -relief
31/07/2022,0,agitated,sleep
31/07/2022,0,complacent,health (dentistry etc)
31/07/2022,0,complacent,physical nurturance
31/07/2022,0,complacent,hygiene and cleanliness
31/07/2022,0,complacent,order/ symetry
31/07/2022,0,complacent,supplements
31/07/2022,0,complacent,rest
31/07/2022,0,complacent,ease
31/07/2022,0,complacent,peace of mind -relief
31/07/2022,0,complacent,sleep
31/07/2022,0,alarmed,health (dentistry etc)
31/07/2022,0,alarmed,physical nurturance
31/07/2022,0,alarmed,hygiene and cleanliness
31/07/2022,0,alarmed,order/ symetry
31/07/2022,0,alarmed,supplements
31/07/2022,0,alarmed,rest
31/07/2022,0,alarmed,ease
31/07/2022,0,alarmed,peace of mind -relief
31/07/2022,0,alarmed,sleep
31/07/2022,0,distressed,health (dentistry etc)
31/07/2022,0,distressed,physical nurturance
31/07/2022,0,distressed,hygiene and cleanliness
31/07/2022,0,distressed,order/ symetry
31/07/2022,0,distressed,supplements
31/07/2022,0,distressed,rest
31/07/2022,0,distressed,ease
31/07/2022,0,distressed,peace of mind -relief
31/07/2022,0,distressed,sleep
31/07/2022,0,disheartened,health (dentistry etc)
31/07/2022,0,disheartened,physical nurturance
31/07/2022,0,disheartened,hygiene and cleanliness
31/07/2022,0,disheartened,order/ symetry
31/07/2022,0,disheartened,supplements
31/07/2022,0,disheartened,rest
31/07/2022,0,disheartened,ease
31/07/2022,0,disheartened,peace of mind -relief
31/07/2022,0,disheartened,sleep
31/07/2022,0,anxious,health (dentistry etc)
31/07/2022,0,anxious,physical nurturance
31/07/2022,0,anxious,hygiene and cleanliness
31/07/2022,0,anxious,order/ symetry
31/07/2022,0,anxious,supplements
31/07/2022,0,anxious,rest
31/07/2022,0,anxious,ease
31/07/2022,0,anxious,peace of mind -relief
31/07/2022,0,anxious,sleep
31/07/2022,0,worried,health (dentistry etc)
31/07/2022,0,worried,physical nurturance
31/07/2022,0,worried,hygiene and cleanliness
31/07/2022,0,worried,order/ symetry
31/07/2022,0,worried,supplements
31/07/2022,0,worried,rest
31/07/2022,0,worried,ease
31/07/2022,0,worried,peace of mind -relief
31/07/2022,0,worried,sleep
31/07/2022,0,nervous,health (dentistry etc)
31/07/2022,0,nervous,physical nurturance
31/07/2022,0,nervous,hygiene and cleanliness
31/07/2022,0,nervous,order/ symetry
31/07/2022,0,nervous,supplements
31/07/2022,0,nervous,rest
31/07/2022,0,nervous,ease
31/07/2022,0,nervous,peace of mind -relief
31/07/2022,0,nervous,sleep
31/07/2022,0,intense,health (dentistry etc)
31/07/2022,0,intense,physical nurturance
31/07/2022,0,intense,hygiene and cleanliness
31/07/2022,0,intense,order/ symetry
31/07/2022,0,intense,supplements
31/07/2022,0,intense,rest
31/07/2022,0,intense,ease
31/07/2022,0,intense,peace of mind -relief
31/07/2022,0,intense,sleep
31/07/2022,0,despairing,health (dentistry etc)
31/07/2022,0,despairing,physical nurturance
31/07/2022,0,despairing,hygiene and cleanliness
31/07/2022,0,despairing,order/ symetry
31/07/2022,0,despairing,supplements
31/07/2022,0,despairing,rest
31/07/2022,0,despairing,ease
31/07/2022,0,despairing,peace of mind -relief
31/07/2022,0,despairing,sleep
31/07/2022,0,warm,intimacy
31/07/2022,0,warm,nurturing
31/07/2022,0,warm,support
31/07/2022,0,warm,tenderness
31/07/2022,0,warm,self care
31/07/2022,0,warm,health (dentistry etc)
31/07/2022,0,warm,supplements
31/07/2022,0,warm,relaxation
31/07/2022,0,warm,ease
31/07/2022,0,warm,rejuvenation
31/07/2022,0,warm,physical nurturance
31/07/2022,0,warm,rest
31/07/2022,0,warm,water
31/07/2022,0,warm,relief
31/07/2022,0,warm,nutrition
31/07/2022,0,upbeat,intimacy
31/07/2022,0,upbeat,nurturing
31/07/2022,0,upbeat,support
31/07/2022,0,upbeat,tenderness
31/07/2022,0,upbeat,self care
31/07/2022,0,upbeat,health (dentistry etc)
31/07/2022,0,upbeat,supplements
31/07/2022,0,upbeat,relaxation
31/07/2022,0,upbeat,ease
31/07/2022,0,upbeat,rejuvenation
31/07/2022,0,upbeat,physical nurturance
31/07/2022,0,upbeat,rest
31/07/2022,0,upbeat,water
31/07/2022,0,upbeat,relief
31/07/2022,0,upbeat,nutrition
31/07/2022,0,expectant,intimacy
31/07/2022,0,expectant,nurturing
31/07/2022,0,expectant,support
31/07/2022,0,expectant,tenderness
31/07/2022,0,expectant,self care
31/07/2022,0,expectant,health (dentistry etc)
31/07/2022,0,expectant,supplements
31/07/2022,0,expectant,relaxation
31/07/2022,0,expectant,ease
31/07/2022,0,expectant,rejuvenation
31/07/2022,0,expectant,physical nurturance
31/07/2022,0,expectant,rest
31/07/2022,0,expectant,water
31/07/2022,0,expectant,relief
31/07/2022,0,expectant,nutrition
31/07/2022,0,delighted,intimacy
31/07/2022,0,delighted,nurturing
31/07/2022,0,delighted,support
31/07/2022,0,delighted,tenderness
31/07/2022,0,delighted,self care
31/07/2022,0,delighted,health (dentistry etc)
31/07/2022,0,delighted,supplements
31/07/2022,0,delighted,relaxation
31/07/2022,0,delighted,ease
31/07/2022,0,delighted,rejuvenation
31/07/2022,0,delighted,physical nurturance
31/07/2022,0,delighted,rest
31/07/2022,0,delighted,water
31/07/2022,0,delighted,relief
31/07/2022,0,delighted,nutrition
31/07/2022,0,eager,intimacy
31/07/2022,0,eager,nurturing
31/07/2022,0,eager,support
31/07/2022,0,eager,tenderness
31/07/2022,0,eager,self care
31/07/2022,0,eager,health (dentistry etc)
31/07/2022,0,eager,supplements
31/07/2022,0,eager,relaxation
31/07/2022,0,eager,ease
31/07/2022,0,eager,rejuvenation
31/07/2022,0,eager,physical nurturance
31/07/2022,0,eager,rest
31/07/2022,0,eager,water
31/07/2022,0,eager,relief
31/07/2022,0,eager,nutrition
31/07/2022,0,zestful,intimacy
31/07/2022,0,zestful,nurturing
31/07/2022,0,zestful,support
31/07/2022,0,zestful,tenderness
31/07/2022,0,zestful,self care
31/07/2022,0,zestful,health (dentistry etc)
31/07/2022,0,zestful,supplements
31/07/2022,0,zestful,relaxation
31/07/2022,0,zestful,ease
31/07/2022,0,zestful,rejuvenation
31/07/2022,0,zestful,physical nurturance
31/07/2022,0,zestful,rest
31/07/2022,0,zestful,water
31/07/2022,0,zestful,relief
31/07/2022,0,zestful,nutrition
31/07/2022,0,overwhelmed,intimacy
31/07/2022,0,overwhelmed,nurturing
31/07/2022,0,overwhelmed,support
31/07/2022,0,overwhelmed,tenderness
31/07/2022,0,overwhelmed,self care
31/07/2022,0,overwhelmed,health (dentistry etc)
31/07/2022,0,overwhelmed,supplements
31/07/2022,0,overwhelmed,relaxation
31/07/2022,0,overwhelmed,ease
31/07/2022,0,overwhelmed,rejuvenation
31/07/2022,0,overwhelmed,physical nurturance
31/07/2022,0,overwhelmed,rest
31/07/2022,0,overwhelmed,water
31/07/2022,0,overwhelmed,relief
31/07/2022,0,overwhelmed,nutrition
31/07/2022,0,afraid,intimacy
31/07/2022,0,afraid,nurturing
31/07/2022,0,afraid,support
31/07/2022,0,afraid,tenderness
31/07/2022,0,afraid,self care
31/07/2022,0,afraid,health (dentistry etc)
31/07/2022,0,afraid,supplements
31/07/2022,0,afraid,relaxation
31/07/2022,0,afraid,ease
31/07/2022,0,afraid,rejuvenation
31/07/2022,0,afraid,physical nurturance
31/07/2022,0,afraid,rest
31/07/2022,0,afraid,water
31/07/2022,0,afraid,relief
31/07/2022,0,afraid,nutrition
31/07/2022,0,excited,intimacy
31/07/2022,0,excited,nurturing
31/07/2022,0,excited,support
31/07/2022,0,excited,tenderness
31/07/2022,0,excited,self care
31/07/2022,0,excited,health (dentistry etc)
31/07/2022,0,excited,supplements
31/07/2022,0,excited,relaxation
31/07/2022,0,excited,ease
31/07/2022,0,excited,rejuvenation
31/07/2022,0,excited,physical nurturance
31/07/2022,0,excited,rest
31/07/2022,0,excited,water
31/07/2022,0,excited,relief
31/07/2022,0,excited,nutrition
31/07/2022,0,anxious,intimacy
31/07/2022,0,anxious,nurturing
31/07/2022,0,anxious,support
